tweet,weight,duration
burr,879036,480
separator e p,875860,555
w h r uep,700615,450
crocodile,509299,405
whyruep,439045,15
loeffler,342022,225
hours,282369,510
n,280840,720
100 ways jackson,261059,510
custodian two holy mosques,257101,90
endurance test,256187,570
total quarantine,253704,150
feinstein,239924,435
praewa,239528,75
the police anticipate corona,235525,75
weeknd,234503,330
discrimination prisoners,225894,330
,222880,540
sutopuri audience live streaming,207057,180
crocodile,201773,405
stream alab v,199918,210
,170132,60
b 19 l v e j h,168429,585
merciful lord kabir,167790,225
family born,166772,285
merciful lordkabir,166214,15
grtmn ek atama takvimi,165749,285
covid 2019 r,161638,315
n e l h e w l l,157433,75
daniel wall,156353,30
peter alexander,152138,330
provadol der,147690,435
dr fauci,144172,105
book publication,135970,60
ways,135178,15
stay at home protect your hand,132236,240
Kanika Kapoor,128221,435
friends 19,122773,15
Nirbhaya Case,121159,105
short,118024,210
honey boo,115489,195
,115003,195
selfie joel,114891,135
stay homes,114859,480
snow man tube live stream,110687,435
snowmanyoutube live delivery,110413,15
perfect 10 countdown,107307,15
escape,101684,165
koh lanta,100576,150
n 14 th win,94964,240
late,94754,30
escape,92907,15
gurley,91594,180
case 670,91016,225
you nefesimsen,89493,300
participant n punishment,88233,180
faith 500 k,87849,180
,86191,210
cash app friday,86048,495
evdekal lkenikor,84684,465
quaratine chill,84393,195
game stop,80868,285
jumper bound bail saves us,78270,105
pompeo,76926,165
pintoawards,76838,450
containment day,76728,465
quarantine l chile,76570,360
20 mar,73809,330
hyogo,73661,600
saudi karuna,73514,255
relay hash total,72372,30
,72261,390
n e l c u,71896,75
tucker carlson,71434,315
Jackson Net,70683,30
promise lifetime jun myeon,70291,165
rams,69558,30
case 359,69222,255
tiago leifert,68126,30
love live n n,67925,390
love live ann,67800,15
perth dayfrom us,67753,135
curfew,67309,255
tiago leifert,67190,105
cashappfriday,66960,15
u n e h u r r c n e,65708,45
animal crossing new horizons,64543,225
faith 500 k,64439,90
amadeo,63756,75
californians,63363,75
Nirbhaya Justice,63162,225
elders,62804,15
mandatory quarantine,62062,30
v h e l n h,57674,240
friday thoughts,56849,420
w l clark meets leah,56795,90
passed out,56677,90
,55989,285
hay rl cumalar,55858,525
evdekal lkenikor,54368,15
nirbhaya verdict,54309,285
Friday prayer,53325,15
have a nice Friday,52720,15
,52607,300
free call of duty,52141,150
applaud your health,51174,360
Sage craze,49593,270
tarantula,49316,120
j balvin,48987,285
mentioned,48403,45
sa l k lar n alk l,48047,15
bad apple,47415,450
anxious,47213,60
we will succeed together,46537,15
crocodile update,46385,45
c promo,46351,150
knock and come back,46347,30
birlikteba ar,44041,195
in quarantine I,43935,60
banks deferment premiums,43287,120
shy,43249,240
insider trading,42997,465
pinamar,42949,75
there is life at home,42123,15
c v 19 mexico,42086,180
e u g u p r q u e,41711,135
c and 19 million,41501,15
tim martin,41456,270
u h r c h v e 21,40906,135
hourly response,40665,45
n u r u,40252,75
someone prostrate gesture,40233,345
traffic accident,40196,120
sondurum,40184,15
v gala,39772,150
ahsoka,39769,270
mocha uson party,38697,450
friday feeling,38604,30
56 californians,38241,165
trump meltdown,37911,120
international dayof happiness,37554,675
argentina aplaude,37495,270
Argentina claps,37365,15
burrisma,36819,330
kidkrow,36745,285
guardian blood spirit,36526,195
voice actor night play,36178,75
boosie,36028,15
gavin newsom,36018,120
chick,35916,270
mouse,35873,75
sa l kc lar n alk sla,35756,45
Hadebela,35226,165
sean payton,35006,60
lento watch party,34854,45
die,34802,90
lentowatchparty,34643,285
j bx p,34596,15
prova lider,33755,180
,33650,105
unidas pandemias,33108,60
author,33106,105
witzel,33033,180
animal crossing new horizon,32666,45
suga suga,32587,15
animalcrossingnewhorizon,32550,15
stupid house,31822,195
colores,31793,480
martha stewart,31607,375
crocodile,31254,195
c k act,30963,15
