tweet,weight,duration
k f c green curryx mew gulf,2060027,420
free fire fan warx bright win,1076577,345
n lies g,615273,420
,570413,135
,562251,780
lets meet u h,458151,555
hobby,408054,345
damn stage,374041,330
u h,368024,60
burr,350587,450
young days,317230,180
percy jackson,317177,15
percy jackson,304515,135
,287518,300
salamanca,277374,525
identity real sat guru,270634,330
judge sullivan,252396,90
b n g b n g c n live,215049,315
reforma,213206,255
chaeyoung,191498,120
chaeyoung,182542,15
watermelon sugar,181845,120
c h e u n g,180563,165
,173005,180
dr bright,165849,390
fair boyfriend,155950,240
dr bright,151621,15
forever king kohli,135350,120
p e r c j c k n,130110,75
paper mario,128634,540
Safra,127720,390
g in,126485,600
r e u r e prince yoshi day,126141,315
0514 youth l,123858,105
one day work ohm,114302,120
rama diary,114248,75
jeff bezos,110270,255
treasure princess yoshi day,106399,15
loyalty social support group,100043,135
block one,96404,450
eternity preview,93271,255
,91593,15
boosie,90802,135
unreal engine,87546,30
husband without anything blocking,86673,315
vefasosyaldestekgrubu,85348,450
nezamanutan,84038,405
e n g h,83983,285
jonyj stop fake going throw,82580,195
raw manma,77818,210
cinema x magic,77722,90
ending,76067,225
sainz,75562,45
so,73820,135
survivor,73695,150
hindu hindu bhai bhai,71224,210
confiamos en alich,71083,375
r p capitalism,69792,345
aatma nirbhar bharat package,69715,285
p r b e n l u c v n,69227,135
wisconsin supreme court,68142,285
road to kingdom,67090,60
rama diary,65614,15
natalie,64763,60
red lobster,64053,75
u f c j x,63825,495
bono completo,63563,120
canal 14,63202,360
hospital playlist,62897,165
bir hayalet dola yor,62687,255
v gala 13,61600,150
b d e d e,59780,375
paper mario,58053,255
erdogan threatens gulf,57865,210
miss comment x u sep,57652,45
l b c workshop day,56816,150
mohammed ben salman secondary request,56709,210
mew suppasitx maya channel,54754,120
dark blue kiss started,54118,270
rick riordan,52787,150
p r e v e c n e,52574,240
jaemin bubble,51428,210
justiceforcarry,51254,195
r p america,50476,420
embrace v,49411,150
,48618,555
moonwalk,48382,165
late night lay,48326,135
laborers,47863,180
b g r e,46886,120
gurunai,46464,240
,45219,285
n e k r c k,45172,300
nya ift ilerg,44599,555
open malls,43111,315
separator goku e p 13,43106,240
14 may,42840,210
lobisimsar tff,42002,300
always shining p g,40860,255
former attorney general,40661,150
survior 2020,40507,45
e w dynamite,39018,240
,38390,105
milli hesaplar burda,37797,90
hunger games,37092,180
teyana taylor,36076,45
,35965,60
Happy Thursday,35458,330
renault,35351,345
mc laren,35192,30
v ltima hora,35127,120
watermelon sugar v,34972,60
fasting humanity,34618,105
cagamos,34506,15
sv ltimahora,33427,15
survivor finale,33311,255
sunshine wishes sunny happy birthday,33300,15
,32857,525
kento nakajima,32172,30
kannonzaka doppo birthday festival 2020,31907,210
k thought right,31072,90
auxiliomergencial,31011,60
sigarazamm,30538,255
cuarentena total,30153,75
w e n w h w r,29672,120
h j r n u u b e,28765,270
r w p,28288,105
,28287,135
conte,27723,75
g z e l l n c e r e j n e g r,27388,15
saveteenwolf,27327,15
chaos lowering name one note time,27005,555
poseidon,26219,60
brasil nao pode parar,26085,225
sambhajimaharaj,25805,240
g ho st Tsushima,25728,45
k c n c,25721,270
salve jorge,25520,300
l u r e n l v e x,25136,75
w w e n x,25039,165
,25003,150
hawk,24682,45
hawk,24647,15
bolsonaro marmita centrao,24438,120
necklace,23677,75
puddle bond n n,23614,165
cyrilramaphosa,22626,30
shameonyoutube,22459,15
cayetanos,22201,225
dholera smart city,22063,270
hoy rifa la solidaridad,22042,300
subscription lift,22013,15
brazilnaopodeparar,21965,15
happy years murat ceylan wish,21876,90
,21868,60
Swarajvir Sambhajiraj,21835,15
,21643,195
koshien canceled,21482,195
,21398,180
yoshio,21362,195
e x,21055,105
suho,20865,150
con ch vez han podido ni podr n,20817,165
marcelo falcao bud live,20661,465
,20596,270
,20538,795
conch veznohanpodidonipodr n,20068,30
skamitalia,19905,45
ankara tek rek,19492,75
hearts hall famer u n n,19319,150
ankarateky rek,19163,15
g opens school e p,18985,60
livedoturma,18411,300
teixeira,18327,15
,18261,30
fall borroka,18245,180
rotuking,18183,45
r p r n,17986,120
g n,17780,225
u h b e l e e r,17773,60
loiho,17583,195
g ho st Tsushima,17570,120
scarface,17514,195
bandori v l v e,17411,165
v,17359,180
k n c selca day,17164,30
glover,17049,30
reebok must fall,16904,375
officer holiday bonus,16857,90
teeth,16756,210
chief investigation,16743,135
team,16482,120
uyan kol,16392,240
ninety nine n n,16300,225
demonios hugo,16123,45
koshien summer,16035,60
asistanhekimleradaletistiy,15976,90
hall fame heart sunny,15899,15
z u,15842,30
zledik,15834,150
alexandre frota,15644,135
u n n q u r e g r e n,15597,120
persembe,15523,255
jongdae kim,15406,45
f sforthe renewal,15157,75
r h b h,15092,270
buy stuck in those tunes,14991,15
masked singer,14702,210
r e p l g z e,14521,210
disney channel b,14391,180
clapforkeyworkers,14223,240
i am with bukele,14141,75
,14060,105
adana governorship scandal decision,13955,135
loeffler,13948,15
challenge 35,13809,195
shit blame,13759,255
,13662,120
bolsonaro marmita centr,13644,90
pjanic,13595,30
melhem khalaf,13292,150
mask temple,13256,30
aitana reik enemies,13196,60
,13129,180
h e r,12923,210
c,12879,15
,12877,435
,12765,135
bankas,12715,165
impuesto grandes fortunas ya,12692,150
support tv,12354,240
ambo p h,12272,210
anthony smith,12079,150
,12004,285
stay well serve well hoony,11668,120
kannonzaka doppo birthday festival 2020,11630,15
r e c b b b c g z e l l,11630,15
logan lerman,11624,90
composition,11615,30
istifa et ar n,11497,120
shinogi,11483,75
h g w finale,11474,135
resident,11344,30
,11133,225
survivor winners war,11047,15
pavilion glory,10906,75
wow soaked spring day,10843,90
volteretas del gobierno,10779,180
group pointer,10771,60
,10568,300
bellanova,10525,15
masquenada,10502,15
study,10440,120
spalding,10283,30
milyon,10108,120
huh,10032,45
