tweet,weight,duration
vijay face kollywood,2833383,510
e p 11,1821444,600
believe bam bam day,1218593,435
woody homex mew gulf,1082426,375
ykstarihinedokunma,748536,600
drake,622145,480
n b h e n rd win,548704,390
jennie,425295,360
koh lanta,412344,195
wanna one chunil congratulations,369232,315
,321159,540
workers,299151,15
,269242,600
h b dearest tha ia j h,255448,120
todos por bolsonaro,241070,525
de mayo,238192,375
f e,211853,615
nicki,202722,45
k h c n g,197997,555
always happy b,187499,60
carti,180334,375
may day,177679,150
emek,170120,45
labour day,162350,615
mente,161207,120
dia del trabajador,160754,630
ric,154400,75
markmin,149149,270
ifema,148837,30
ohm deck flickers come,148816,105
believe biden,142502,570
c h r b k r lx mew gulf,139765,195
mika,138551,270
live pride festival,137634,465
r e,133928,285
say r x,131808,390
labor day,126824,15
live calcinha preta,126547,300
live ret,125734,255
almighty god bible,120021,75
boss falls asleep g,119697,150
say,115297,60
moussa,113876,15
alexandra,112840,15
yo soy de mayo,112164,90
,111638,270
otro modelo es necesario,111204,15
welcome,107723,15
heautifulharries,107630,30
may,106095,345
pain 1993,96767,345
1975,93596,300
flags flynn,91257,105
ykstarihimedokunma,89350,375
bartlett,88638,15
michigan protest,88269,225
dia del trabajo,87789,90
nceahlakvemaneviyat,87294,210
biz burdayiz,85419,90
scar ch vez,84032,315
dia del nino,83624,105
cacerolazo 30,83398,330
may day 2020,81996,390
capitol,79263,15
n 10 to 10,78716,135
,77075,165
claude,75288,15
dayan g n,74882,90
matheus,74775,105
succeed,74312,315
v gala 11,74297,195
parks rec,73121,435
stuck u,72768,330
live pri alcantara,72198,120
b kx n w r,71872,120
stuckwith u,71378,15
grow run ep,70868,60
demons,69076,180
joe biden joe biden,68833,60
b j pwith terrorists,66733,330
peppa bricklayer,66294,450
baris atay,64523,390
askfandoms,62609,315
cacerolazo contra la impunidad,62352,15
tamagotchi,61529,300
happy new month,60348,420
g l e years old happy birthday,59616,30
alex jones,58562,270
filipe right,58386,180
eugene,58330,15
w h e r e n u g v,57200,345
huntington beach,56075,120
tropic thunder,55800,75
snoop dogg,53415,345
,53358,150
calcinha preta,52966,30
heaven kiri stars ep 13,52725,150
avenida brasil,51671,105
hercules,51384,105
h e e,51186,30
yasas n may,50489,15
the eskiyacan,50332,30
labor friendly party,49980,375
,49896,315
modi best pm ever,49772,315
hourly response,49394,180
michigan terrorists,48702,90
losses,47953,225
f u r e e n l l n r f k l n n,47839,225
white privilege,47449,315
nanbar ajith,46655,135
,46511,255
w h e e n tears,45690,210
live diante trono,44798,330
bn meets rofl,44735,300
kauan,44726,15
years g l e,44675,225
hehe,44411,60
kauan,44093,360
n b katch,44028,225
breaking dawn,43251,195
r e u r e p,42640,60
international workers day,42487,210
ayrton senna,42421,135
,41342,165
maggio,41247,510
jill scott,41101,240
may labor and solidarity day,40890,90
protect park jisung,40175,405
dolar,39858,420
super electromagnetic gun,39640,120
r e,38430,15
ermai 2020,38116,345
fire chris hayes,37997,45
loeycon,37732,60
live n 10 anos,37672,405
damola,37617,315
thank you guedes,37223,255
labour day 2020,37197,60
wyatt,36714,210
l e c n,36703,180
h g w,36278,435
er mai,35559,135
cabe netflix,35338,15
all outside bolsonaro,34894,15
demokrasiyi fel etme rg,34765,30
Maharashtra day,34725,480
al faraj approached,34663,150
pepita,34214,150
faculty science faculty science technology chiang mai university,33946,120
universal repentance,32971,105
,32942,225
e v e r w h b n g n,32934,75
workers day,32738,180
ramayan,32010,105
new drake,31985,135
amstel em casa,31657,195
with the studs yes,31559,150
chris evans,31546,150
afro series,31164,75
live da pabllo,30534,105
starting story,30196,60
e c r n c g z e l l,29143,120
matheus e kauan em casa,28996,30
i am may first,28555,30
sacred mosque,28488,105
,28485,165
x wait love,28058,120
ampiyon trabzonspor,27918,135
half,27535,480
oh remix,27522,180
kayleigh mcenany,27335,120
being in prison in ramadan,25659,30
desires,25614,120
colesprouseisoverparty,24682,390
,24670,210
,24663,150
interdepartmental,24652,90
urias,24002,120
urias,23628,75
still standing,23620,120
99,23580,285
twittervskpop,23489,285
win cute phone 11,23453,255
2020,22982,240
,22170,195
e f,22154,45
decode,22152,15
jennie kim,22092,45
165,22073,45
,22002,120
god bless,21751,75
,21626,195
terri j r,21541,120
espa quiere trabajar,21438,105
maharashtra day,21271,60
cancel rent,21084,105
paulinha,20704,150
gdragon,20276,60
splashforce 50 k,20269,135
have a nice Friday,19053,45
