tweet,weight,duration
stray kids,1184202,75
america,1028368,285
stray kids comeback,780578,270
justice khaled,659780,345
arsenal,656164,180
bolton,587044,210
j cole,518865,90
lazadamidyeargrandshow,499451,15
lazada mid year grand show,496428,285
always taeyong,448309,255
fandom xclusive livex g,415495,225
,387744,225
prison alexandre de moraes,376485,750
mc muffin,353481,690
arrest amish devgan,350104,75
aunt jemima,332335,930
stray kids g l v e,302105,45
mew move heavily wash hygienic,278663,150
david luiz,267106,210
summer brought shunuran gift,263156,300
g nl n elvermesin k ertelensin,250952,450
,240096,375
j cole,240048,540
c n p r e,223035,225
stand n n army,204345,300
johnny's who with u,202684,225
eakysoi 31 x yinwar,199143,60
russia,180362,180
,173129,135
c r,160695,465
big time rush,149746,120
pokemon presents,147618,75
brightwin forever,145646,210
mc donald,142654,90
napoli,141633,105
stand indian army,136558,225
villa,129615,60
stray kids gods menu,118922,60
nako nako day,114253,225
pablo alboran,112862,450
garcia,112184,45
chumel,111087,105
pen e kaplan,106192,765
without science there is a future,105340,420
doyoung,103702,90
survivor evolution I'm with you,102756,60
doyoung,100334,30
man city,99522,90
boogaloo,99217,15
lay super show,97705,345
teach lesson china,94036,420
hindi cheeni bye bye,93319,240
justicefor sushanth singh rajput,91415,165
,90130,150
pokemon snap,88066,345
song sirens,85883,405
armored island,83683,105
master attitudes,81115,15
world father day,78871,495
n k n k,77545,60
stop lateral entry,77340,60
music stock measurement,76094,315
g p cowards,75350,330
debataprezydencka,75064,240
cemalcan,74384,165
yohan,73923,180
blue sky,73339,165
modi strongest pm ever,72241,240
noname,70368,45
Dear way,70343,480
norcost n,67909,180
b l u e k,67508,15
g x b b l,64386,120
sendai,63851,390
arteta,61858,120
star trek united gives,61360,405
sterling,60686,165
top chef,60550,195
,60197,75
tacha,59678,15
federalist,59028,30
juve,56637,30
moral story,56254,450
megan fox,53462,180
k scan mdan nemli de il,52304,195
v l h u,51149,225
arrest amish devgan,49400,375
dark wild party,48704,225
petro paraco,47850,495
fury,47186,15
said dialect,47123,540
muhammed mursi,46970,540
porto,46783,135
,46509,195
mohammed bin salman,46069,75
chris d'elia,46003,480
boycott chinese product,44287,180
k u n,43703,75
heart beats chanyeol,43339,210
n e l v e f r w r,43107,195
haken dignity,43093,315
sexy zone,42411,30
l,42161,15
legan,42030,30
fortniteseason,41869,390
christmas,41405,15
Indichanistandof,41358,15
aguero,40910,225
stacey,40791,180
,40313,105
c n c r e n g p r,40135,240
chris d'elia,40055,15
u n p r e e r f k l n n,39483,75
racist bombril,39172,765
sheffield united,39019,165
de bruyne,38660,120
e h e h n e r u u k l n n,38361,45
girlfriend,38023,30
benfica,37611,60
sarri,37462,75
heechul,37372,225
Happy Wednesday,36944,600
p qs,36430,180
twitter v n,34861,240
f bv,34543,165
uncle ben,34257,210
Tear tear,34249,225
jermaine,34216,345
hindi chini bye bye,33637,30
ali ko,33438,90
grub,32732,105
coppa italia coca cola,32663,60
officer karen,32577,60
leno,32524,135
Bayern Munich,32489,60
dance livex p e r h,32271,15
sunken person wait simmer,32189,45
barca leganes,32030,150
adrien,30942,15
wednesdaymorning,30914,645
vs quiz knock,30676,195
manu gavassi,30152,105
v l v e awaken way vs world,30067,105
buffon,29922,150
darpok 56 inch,29841,210
в е е п я у р е н е н,29592,180
matsumura hokuto birthday festival,29524,240
h p p r n,29465,90
together,29195,375
season,29175,195
,29129,120
we are b r,29112,435
p f r p h x,28802,315
belle delphine,28190,270
gattuso,28183,15
mervekonuko l,27964,465
,27953,60
adeherself,27883,105
aston villa,27774,60
battle pass,27597,60
studio live,27517,195
bluff,27431,15
17 jun,27348,60
v hits comil,27333,75
pokemon g,26637,30
p e r aas n e,26189,165
komatsu uesaka night play,25811,75
salim khan,25683,120
k h audience live,25673,255
e e r,25646,90
griezmann,25514,195
,25489,105
skyhi,25427,15
mohamed morsy,25156,90
lidl,24747,210
luan asas,24528,210
aubameyang,24382,60
uribe is scared,24048,225
mega sinker,23789,210
daniel rashford,23626,360
mr iglesias,23435,360
ederson,23073,75
kristen stewart,22993,210
barcelona leganes,22648,90
serving mankind,22596,135
,22547,180
tokusou,22371,165
fairies,22218,330
cyril,22199,75
r eand r e th win,22160,165
dybala,21756,120
e c v c e h e l,21721,60
survior 2020,21093,60
dan foster,21020,285
46 n n,20972,180
,20712,75
word bedouin translation,20672,330
tim scott,20651,105
star trek united,20638,180
,20052,30
xhaka,20029,180
the 20th all to the obelisk,19806,225
premier league back,19717,180
pokemon presents,19576,60
sexo,19240,15
luisa sonza live,18969,315
quaker oats,18820,45
mriglesias,18805,15
love victor watch party,18760,240
v l l u n,18614,390
lovevictorwatchparty,18449,15
pmqs,18419,15
galwanvalleyclash,17988,75
yukari tamura,17919,150
c g,17800,165
call to prayer,17621,150
v w f c b,17620,15
back luana,17567,15
everything leads macri,17461,255
snow tha bluff,16899,165
hibernacion,16826,300
k p pyasaklans n,16710,180
,16475,135
md fernando v,16349,150
givearashiherpronounsback,16223,255
,16200,60
happy shownu,16165,15
kpopyasaklans n,16122,15
h b c us,16101,15
chumel chillon,15972,345
debata v p,15781,15
ganba rising,15667,75
chile en crisis total,15612,180
njcup,15529,90
happy mi rcoles,15433,135
h b dto h w n u,15365,15
roblox,15314,225
solution riyadh,15309,135
napoli juventus,15130,120
17 th june black day,14759,30
petro kick the mafia out of power,14723,150
amazon saudi,14572,285
eat mac world,14571,540
uribe scared,14530,90
e f c c,14500,15
honey longing said,14420,330
bruna marquezine,14312,165
rakitic,14077,120
tried tonight,14026,210
mustafi,13994,225
ozil,13768,150
glorious wednesday service,13694,45
mustafi,13626,15
talkwithcooheart,13542,165
Wednesday,13264,105
l e l u c l e,13112,30
willie thorne,13067,300
president ramaphosa,12981,105
trabzonspor,12839,165
bruna marquezine,12667,15
,12248,105
,12226,90
galleria,12217,15
k u n,12132,45
,12110,30
stream intentions,11974,15
n 10 to 10,11897,120
love victor,11879,75
gundam,11628,705
one year n c,11611,45
,11549,150
kirk right,11496,180
maria eugenia vidal,11158,195
grealish,11124,165
nakamura kaito,11075,15
francesca,10995,180
b b u k,10699,60
let talk actual brother conversation,10614,540
pokemon smile,10531,15
hawkeye,10474,30
,10438,105
louiesareloved,10392,210
w kite first day,10339,105
Tim Tamas,10208,255
