tweet,weight,duration
winner sid,3590140,750
iran,2850025,555
iran,2760419,480
world war,2670705,465
w w,2636480,855
World War,2085351,30
winnersid,2062950,15
australia,1463873,390
soleimani,899408,375
Third World War,860085,510
coachella,573161,480
qasim suleimani,569648,765
Third World War,461327,555
saul,443365,630
w w,433592,285
bolsonaro keep silent,424704,780
worldwar,403993,195
baghdad,401618,270
b g b n g,322669,315
soleimani,314676,570
middle east,303116,345
gabi,225630,30
nan girl,223056,255
pentagon,218362,165
yummy,213980,525
dry,206832,360
hakone ekiden,192297,180
wwlll,163056,885
pompeo,159414,180
la j e c,155718,90
yummy n g h,151332,165
Iraq,146287,120
mom e,145663,750
al hilal al faisaly,135031,495
thank e l l,128121,90
russia,123939,75
world war,123251,90
congressional,118948,150
third world war,118090,675
selena rare,116321,240
psycho stwin,114161,15
psycho st win,112941,375
revenge,111720,30
annewithane,111228,15
v l e u p e n l u c v n,101467,135
b v 24,94119,90
am loading,91773,345
trump,90413,165
quds force,90329,180
felipe grandson,89497,210
friday,88656,135
trumps war,86359,375
selenal r r e,83982,15
generality,82420,105
r c,82103,135
n n e r r w,81417,180
h e h r,74749,30
Teruel,74005,360
German bank,73574,45
destruction gasem slimani,70484,180
world war three,68834,135
dear iran,67414,60
shut up bolsonaro,65411,315
kas leymani,65008,540
steamed bun,63257,60
one l h signboard world,63190,585
Hatsune Miku,62658,330
safeflightlalisa,62369,15
australia fire,60920,345
hard revenge,60069,315
safe flight lalisa,59613,165
central electoral board,59546,165
frank ocean,59347,210
walkman,58436,180
everyday kath,57651,360
mekepon bingo,57506,555
earthquake early warning,56709,75
terrorists,55935,345
l v h u,55071,180
г е н,51653,210
went to sahib,51481,345
follow me the good 2020s,50219,375
friday feeling,47573,135
Russia,46764,135
tradesmen,46747,135
cant keep us x,46361,285
koias,46055,180
super mook mode,45785,375
one week r r e,45077,300
turkish ben talal,43625,120
q u e n n r e f r 2020,43441,405
28 days walls,42141,345
potato,41444,45
surviving r kelly,40040,450
sharon,39602,90
okuyorum nk,38712,90
out x everything,38473,285
arashi acupoint,37772,285
blessed friday,37190,315
pro,37120,285
parliament,36716,45
seed,36449,60
masaaki ando makes world smile,36401,45
villejuif,36236,375
public among savarkar,36017,15
r g c,34890,75
Iraq,34848,135
the beauty and the Beast,34144,15
the beauty and the Beast,34034,255
city custom molester,33358,330
kisses delavin u h,33268,15
friday motivation,33097,330
roe v wade,33051,75
abu mahdi engineer,31763,135
baghdad,31484,15
dracula,30934,240
epik high,30768,180
win say dialect go,30633,195
rose mc gowan,29595,105
removal judge urrutia,29398,135
to whom,29342,105
prevato,28944,315
nice friday,28768,360
kohlsx armour,28360,300
new section,28265,60
moonbyul snow live,27658,210
world matsuko know,27595,345
revilla,27454,75
destroying Jakarta,27432,270
iran war,25743,105
moonbyulsnowlive,25560,15
Geraldo,24877,255
dr phil,24811,270
hourly response,24658,90
tyler perry,24408,300
pyeon restaurant gangmi mai muyo,24397,30
friday thoughts,23577,300
war iran,23564,30
l,23538,105
asteroid,23128,30
gustavo henrique,22831,150
v arashi,22665,180
naoki hanzawa,22555,165
savitribai phule,22415,270
brazil love palestine,22001,255
australia bushfires,21998,180
masquerade hotel,21246,285
b b arashi,21118,240
freeza,21076,165
sweepstakes,20403,120
lucky bag maker,20370,645
french fries,19482,15
70 harbiyeliyem ebbetveril,19271,330
drummond,19019,225
f v q u e n,18830,30
example contents,18513,45
world introvert day,17571,135
let's follow good 2020,17539,270
band,17474,30
j b yummy,17440,90
Franz Ferdinand,17156,120
l r cepeda war,16856,60
deceived grand prize,16673,255
carry,16612,120
jess phillips,16596,225
tokyo international,16273,15
middle east,16227,75
emeguerremondiale,16068,45
Brazil Avenue,16060,225
sardar soleimani,15878,60
kisbusa,15779,150
naoki hanzawa episode,15737,75
masquerade hotel,15613,60
r e n,15478,15
selman ogut,15180,255
hikaru utada,15030,90
Abu Mahdi the Engineer,14976,45
gabi is on,14900,75
,14884,300
hepimizin ehi,14875,390
alparslan again with my teacher,14725,180
c f k mato nisman,14681,225
n w r,14418,75
n v u l x p e,14345,75
last promise,14273,285
eustitia life,14215,15
climate emergency,14055,165
president of the results of jiwasraya,14044,270
tsuka chan,14025,90
arashi acupoint,13872,15
happy friday everyone,13684,390
reinier,13681,60
the mafia used nisman,13533,30
slot maker,13506,15
weakest king,13103,15
boycott teruel,13047,90
baghdad,13005,120
game,12975,135
yokoo,12973,15
zorlu etesiistif,12927,285
third World war,12860,30
war iran,12702,165
ra world war,12700,15
b b arashi,12689,30
satomi ishihara,12578,45
l n e v w r 2020,12539,30
buzz rhythm,12479,120
russia china,12331,45
titanic,12319,180
the picemiyet,12299,210
titanic,12254,30
give another one,11932,165
black lotus,11857,165
evangelicals trump,11771,45
storm hill,11599,225
casting diagnosis reincarnated fantasy world,11385,315
wag dog,11297,270
Alberto with the people,11252,135
without bubbling,11249,75
attack cap,11209,150
hassan nasrallah,11151,165
nintenderos kings,10257,390
veto bolsonaro,10254,180
Palestine,10194,15
