tweet,weight,duration
public ka winner asim,796133,330
gmmtvouting 2020,739960,660
historic winner sid,732045,405
r c k l,577021,420
aaron gordon,440874,435
n 500,361357,450
caroline flack,324725,120
destiny clinicx mew gulf,322667,255
gala,314167,180
w e r e b u l l e p r f,285193,255
n c r,210291,150
Will die,203992,300
b 19 back p,201912,360
robbed,195984,30
jumix gulf kanawut,193588,255
ahmet go to treatment with his mother,191197,345
r b b e,189789,240
eternal,176760,30
singularity v 100,169765,345
may wardi want push year,168247,180
maywardiwantasapushyear,164828,15
h e e e r n l,159035,15
b 19 k j,156654,225
z n e f e,145696,240
master chef stars thailand,134425,120
u g e,128167,450
u n l,127874,165
n b star,125042,375
b 19 xi n,114887,240
slam dunk,112380,180
unlimited,112237,180
gabigol,109109,135
ф е е в е,102395,45
crash landing finale,97605,585
Tacko,95897,225
kirin comes,94326,270
Super Cup,93255,15
Bruno Henrique,93200,210
woori taehyung singularity 100 congratulations,91042,60
directo 16 f,90490,510
wade,90169,180
r n e w,89899,435
b 19 on u k g weekend,89281,15
g z e l l b c l h n g,88899,240
nitiasa,88108,135
Bruno Henrique,86516,15
k j 15,85121,60
yonghee thank born thank,78951,120
jones jr,76611,15
al ittihad olympic safi,75718,90
abdullah juma aboulieh,75596,150
f l ax c p,74934,270
flaxcap,74697,15
carat selca day,72396,375
arsnew,71746,15
,70963,105
anime awards,70068,390
l u e r h n b b,69720,90
derrick jones,68507,135
kamen rider zero one,68400,240
says,68142,150
love island,66561,45
new key new kashi,65238,255
correa,60297,60
h l fans ruling twitter,59255,165
l c,56342,240
fire fight australia,56142,765
p natin,55591,225
jikookweloveyou,55184,165
precure,54821,120
guimaraes,53748,120
troye,52248,90
f e,50875,135
save era,48759,90
inner child,47974,45
survivor 2020,46668,390
hazard,45805,150
bigfone,45023,15
see paste green image,44734,255
tdel final discount,44417,165
bigfone,44123,315
Celtic,43996,165
nogizaka,43960,90
sunday thoughts,43385,210
track list,42786,120
benzene,42293,120
grenal,41865,60
g r enal,41785,15
jamia violence,41591,270
n r l v,40883,30
dwight,40379,330
,39811,30
lavine,39685,165
intihar,39666,420
nhk,38746,105
al qarnaba club,38528,240
guerrero,37902,60
adam silver,37613,90
real g,36973,30
la pa pa pam,36508,60
ozil,36161,180
slope trainee,36017,225
l ax b v l g r,35857,60
ersun yanal,35689,75
feliz domingo,34739,720
zero clock,34555,30
u f c rio rancho,34484,510
,34245,225
requested live,34223,270
unc ver,33866,180
dawkins,33832,180
athletico,33114,120
l e ntakes centerstage,32524,75
bale,32374,120
c n n u e n n e,32207,60
lis smith,31445,210
hala madrid,31411,105
rafinha,30851,15
cepostaperte,29753,180
k e av f b,29664,60
boycott n,29340,120
mkeavfb,29199,15
,29193,195
l n g e n e e h n b n,28944,75
voice general election,28923,270
g sv,28837,315
buzyn,28344,270
sundays,28330,165
boycott film fare,28301,180
lazio inter,28290,255
pazar,28157,270
diego souza,28033,195
dunk contest,28021,135
sunday morning,27865,30
b c 2020,27818,90
