tweet,weight,duration
bang bang con live,1834751,810
Shahnaz Kaur Gill,1228006,315
x unit go,1103070,390
Sushant Singh Rajput,907464,465
hindu united terror,557495,600
kismai w e b f e,515501,420
obama day june 14 th,482941,780
j u p n n p,414242,435
wendy,405885,150
messi,388133,240
million l v e one day broadcast day 11,376246,405
better treatment g,336068,495
luan love em casa,326097,555
nobody drops bolsonaro,321956,570
spongebob,316396,330
love,296350,30
obama appreciation day,272219,270
gold stage x bright win,270179,180
bye bye eternity,266909,315
birthdays matter,246452,645
trump well,245536,540
alich,245512,30
vmin,245489,45
rayshard brooks,239833,435
p u r p l e u e h u n g,226824,45
lu sa,207140,300
name cal ka,201824,345
w l l,198042,285
f e r l e,192258,120
bang bang con,192141,105
four years j,178616,315
e w fun sunday live,152386,135
summer h h iday,147175,435
macron 20 h,144798,300
melts joice,143564,525
happy birthday trump,141737,225
Thrifty,138073,45
r e u r e p w e r r k e,137956,480
e p 14,133949,195
love young dae,133831,255
never seen,132686,15
happy birthday mr president,128350,195
sx ohm fluke,122346,105
l,120305,270
wendys,119385,60
gen z,116647,270
47 people tokyo,114760,255
gods menu,113589,195
segredo na floresta,112639,390
ra movie,112331,315
Real Madrid,110505,105
gracias big boss,108332,390
atlanta shooting,107719,30
p r,107055,180
exciting exhibition,105108,210
ms 2020,103525,735
k l is the nth wave,103361,240
yuito house live,102145,285
bar,96765,90
good bye red moon,94060,90
mallorca,94023,120
congratulations birthday shining like star,90896,360
persona golden,83661,75
w r dis back oni want p,80458,195
muslera,79900,90
g r,79754,15
hazard,78119,300
cute,76669,60
deprem,76408,465
karens gone wild,75872,315
"I'm a woman, I'm a Bolsonaro",75742,135
dontleavemechallenge,74611,465
flag day,74425,510
trump wears adult diapers,73999,150
tower gibbons glowing e p 15,73704,45
happy prince yeosang day,73669,15
g z e l l l v e l e r,73192,165
ba ak demirta seninleyiz,72831,645
world blood donor day,71767,480
hija ako,69852,540
Naked,69331,15
luan brahma live,69043,15
whindersson,68031,45
j n,68016,30
stop blaming muslims,67318,270
gene high magic battle,64775,30
g e n e,64640,150
c x,62819,60
Sushant Singh Rajput,62737,45
loose gabriel,61042,360
She aaj tak,60878,360
trump e v,60752,75
c r v c l u,60496,30
,60179,225
best president ever,59753,225
ramos,59219,30
smile to old rematch,58979,360
Karen gone wild,58668,15
pen e kartal,58206,90
maywardisback oniwantasap,57842,15
е н г,57404,15
sushant singh rajput,57124,75
thank,56582,30
trump unwell,55721,345
museum girl,55479,195
depression,53552,60
complete x,53053,180
,52973,240
,52547,75
save gujarat students,50831,60
doxaba,50716,255
persona,50106,360
r f k l n n n u l h w,49919,120
l u n b e b l e,49642,15
inkigayo apologize twice,49303,240
r e n e w u e r b n k,49092,30
maratonacrepusculonomegapix,49088,195
madrid,48909,165
Madrid's aura,48886,270
want connect,48350,270
nitiasa,48092,165
school rangers school bus,47195,90
riza,47028,225
p tayo,46918,270
sarah g day,46703,210
benzema,46569,315
messi,46499,210
years q u r e u p,46228,15
london riots,45568,30
bob esponja,45397,120
hit u years,45238,15
strong jong dae,45005,15
face app,44972,90
late late,44454,360
sarah geronimo,44127,15
the strong house,43348,165
faust,43278,45
khalid al dosari,41951,330
teifes home,41688,165
,40829,255
obama better everything,40592,15
kroos,40553,225
festival 360,39987,375
47 people infected,39915,90
small ft,39635,15
p c gaming show,39612,105
the popularity of lopez cayo,39079,180
stand b l u e x,38831,135
u f c vegas,38685,480
vakasay,38443,255
kamen rider zero one,38261,210
uyajola 99 sundays,37148,240
I respect,37032,15
ut rkistana zg rl k,36994,255
cancel exam 2020,36486,180
r eand r e th win,36471,135
